Tag,Datum,Start,Ende,Min,Soll,Rezeptur,Produkt,System,Year,FilePath
Mo,01.09.,05:42,13:32,30,36,A-27,100G Joghurt,H3,2025,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2025/H2H3/WP_H2+H3_KW 36 Version 1.xlsx
Mo,01.09.,15:02,21:08,26,28.021603,A-20,100G Halbbitter,H3,2025,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2025/H2H3/WP_H2+H3_KW 36 Version 1.xlsx
Mo,08.09.,22:00,19:28,38,42.142,A-633,218g Sweet N Salty Duo,H2,2025,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2025/H2H3/WP_H2+H3_KW 37 Version 2.xlsx
Mo,08.09.,22:00,19:28,38,42.142,A-633,218g Sweet N Salty Duo,H2,2025,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2025/H2H3/WP_H2+H3_KW 37 Version 2.xlsx
Di,09.09.,11:11,17:53,26,28.254825,A-294,100G Kakao-Mousse,H3,2025,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2025/H2H3/WP_H2+H3_KW 37 Version 2.xlsx
Mi,10.09.,09:35,15:18,24,26.23449,A-298,100G Kokos,H3,2025,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2025/H2H3/WP_H2+H3_KW 37 Version 2.xlsx
Mo,15.09.,22:00,09:42,32,36.12,A-2900,100G Weisse Spekulatius_G,H2,2025,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2025/H2H3/WP_H2+H3_KW 38 Version 1.xlsx
Mo,15.09.,22:00,08:01,40,42.242224,A-294,100G Kakao-Mousse,H3,2025,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2025/H2H3/WP_H2+H3_KW 38 Version 1.xlsx
Mo,15.09.,11:12,22:00,30,40,A-18,100G Alpenmilch,H2,2025,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2025/H2H3/WP_H2+H3_KW 38 Version 1.xlsx
Mo,22.09.,22:00,02:18,10,12.432,A-603,250G Alpenmilch,H2,2025,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2025/H2H3/WP_H2+H3_KW 39 Version 1.xlsx
Mo,22.09.,03:48,16:53,26,25.698,A-633,218g Sweet N Salty Duo,H2,2025,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2025/H2H3/WP_H2+H3_KW 39 Version 1.xlsx
Mi,30.04.,07:07,13:37,34.7,25.782,A-284,100g Brezel,M3,2025,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2025/M2M3/WP_M2_M3_KW 16 Version 1.xlsx
Di,06.05.,03:24,08:51,30,21.6,A-221,100G Salted Caramel,M3,2025,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2025/M2M3/WP_M2_M3_KW 16 Version 1.xlsx
